序号,CAS号,UN号,中文名称,别名,"毒性a,b",燃烧爆炸特性,加压气体,其他危害c,介质与金属材料相容性提示d,反应和稳定性提示,危害提示,GHS健康和环境危害类别b,附加信息
280,104-94-9,2811,4-氨基苯甲醚,对氨基苯甲醚；对甲氧基苯胺；对茴香胺,IV/III,-,-,-,-,与酰基氯、酸酐、强酸、强氧化剂等禁配物发生反应。禁配物：酰基氯、酸酐、强酸、强氧化剂。危险的分解产物：氮氧化物,-,急性毒性-经口，类别4急性毒性-经皮，类别5特异性靶器官毒性-一次接触，类别1特异性靶器官毒性-反复接触，类别1危害水生环境-急性危害，类别1,-
281,4435-53-4,-,3-甲氧基乙酸丁酯,3-甲氧基丁基乙酸酯；乙酸-3-甲氧基丁酯,IV,易爆介质；易燃液体，类别4,-,-,-,与强氧化剂等禁配物发生反应。禁配物：强氧化剂。危险的分解产物：无资料,-,急性毒性-经口，类别5危害水生环境-急性危害，类别2,-
282,110-49-6,1189,2-甲氧基乙酸乙酯,乙酸甲基溶纤剂；乙二醇甲醚乙酸酯；乙酸乙二醇甲醚,-,易爆介质；易燃液体，类别3,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、酸类、碱类。危险的分解产物：无资料,易燃液体,生殖毒性，类别1B,-
283,540-67-0,1039,甲乙醚,乙甲醚；甲氧基乙烷,-,易爆介质；易燃气体，类别1,加压气体,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强酸、卤素、硫、硫化物。危险的分解产物：无资料,极易燃液体，内装加压气体：遇热可能爆炸,-,-
284,505-60-2,2927,芥子气,双氯乙基硫,II（I-密封性）/I,-,-,-,-,-,吞咽致命，皮肤接触致命，吸入致命,急性毒性-经口，类别2急性毒性-经皮，类别2急性毒性-吸入，类别2皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别2特异性靶器官毒性-一次接触，类别3,G1
285,302-01-2,2030,肼水溶液[含肼≤64%],-,III*/II,"易燃液体,类别3",-,-,碱腐蚀、碱脆,-,"易燃液体,吞咽会中毒,皮肤接触会中毒,吸入会中毒,可引起皮肤腐蚀,可能引起皮肤过敏","急性毒性-经口,类别3*急性毒性-经皮,类别3*急性毒性-吸入,类别3*皮肤腐蚀/刺激,类别1B严重眼损伤/眼刺激,类别1皮肤致敏物,类别1致癌性,类别2危害水生环境-急性危害,类别1危害水生环境-长期危害,类别1",-
286,302-01-2,2029,无水肼[含肼>64%],无水联氨,III*,"易爆介质;易燃液体,类别3",-,-,-,"与强氧化剂等禁配物接触可能自燃,有发生火灾和爆炸的危险。禁配物:强氧化剂、氧、铜。危险的分解产物:无资料","易燃液体,吞咽会中毒,皮肤接触会中毒,吸入会中毒,可引起皮肤腐蚀,可能引起皮肤过敏","急性毒性-经口,类别3*急性毒性-经皮,类别3*急性毒性-吸入,类别3*皮肤腐蚀/刺激,类别1B严重眼损伤/眼刺激,类别1皮肤致敏物,类别1致癌性,类别2危害水生环境-急性危害,类别1危害水生环境-长防害,类别1",-
287,98-01-1,1199,糠醛,呋喃甲醛,III*,易爆介质；易燃液体，类别3,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强碱。危险的分解产物：无资料,易燃液体，吞咽会中毒，吸入会中毒,急性毒性-经口，类别3*急性毒性-经皮，类别4急性毒性-吸入，类别3*皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别2特异性靶器官毒性-一次接触，类别3（呼吸道刺激）危害水生环境-急性危害，类别3,-
288,91-22-5,2656,喹啉,苯并吡啶；氮杂萘,III,易爆介质,-,-,-,与强氧化剂接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强酸。危险的分解产物：氮氧化物,皮肤接触会中毒,急性毒性-经口，类别4急性毒性-经皮，类别3生殖细胞致突变性，类别2严重眼损伤/眼刺激性，类别2皮肤腐蚀/刺激，类别2危害水生环境-急性危害，类别2危害水生环境-长期危害，类别2,-
289,60-51-5,2783(粉剂);3018(乳剂),乐果,"大灭松;O,O-二甲基-S-(N-甲基氨基甲酰甲基)二硫代磷酸酯",III,-,-,-,-,"与强氧化剂接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、碱类。危险的分解产物:氧化硫、氮氧化物、氧化磷",-,"急性毒性-经口,类别3急性毒性-经皮,类别3严重眼损伤/眼刺激性,类别2B特异性靶器官毒性-一次接触,类别1特异性靶器官毒性-反复接触,类别2危害水生环境-急性危害,类别2危害水生环境-长期危害,类别2",-
290,92-52-4,3077,联苯,苯基苯,-,易爆介质,-,-,-,与强氧化剂、酸类、卤素等禁配物发生反应。禁配物:强氧化剂、酸类、卤素等。危险的分解产物:成分未知的黑色烟雾,-,"皮肤腐蚀/刺激,类别2严重眼损伤/眼刺激,类别2特异性靶器官毒性-一次接触,类别3(呼吸道刺激)危害水生环境-急性危害,类别1危害水生环境-长期危害,类别1",-
291,92-51-3,3077,联环己烷,环己基环己烷,-,易爆介质,-,-,-,-,-,"皮肤腐蚀/刺激,类别2严重眼损伤/眼刺激,类别2危害水生环境-急性危害,类别1危害水生环境-长期危害,类别1",-
292,84-74-2,3082,邻苯二甲酸二丁酯,-,-,易爆介质,-,-,-,-,-,"危害水生环境-急性危害,类别1",-
293,131-11-3,-,邻苯二甲酸二甲酯,-,-,易爆介质,-,-,-,-,-,"严重眼损伤/眼刺激,类别2B特异性靶器官毒性-一次接触,类别3危害水生环境-急性危害,类别3",-
294,84-66-2,-,邻苯二甲酸二乙酯,酞酸二乙酯,-,易爆介质,-,-,-,-,-,"皮肤腐蚀/刺激,类别2严重眼损伤/眼刺激,类别2B皮肤致敏物,类别1特异性靶器官毒性-一次接触,类别3危害水生环境-急性危害,类别2",-
295,85-44-9,2214,邻苯二甲酸酐[含马来酸酐大于0.05%],苯酐;酞酐,IV/III,易爆介质,-,-,-,与强氧化剂等禁配物发生反应。禁配物:强氧化剂、强还原剂、强酸、强碱。危险的分解产物:无资料,"可引起皮肤腐蚀,吸入可能导致过敏,可能引起皮肤过敏","急性毒性-经口,类别4皮肤腐蚀/刺激,类别1严重眼损伤/眼刺激,类别1呼吸道致敏物,类别1皮肤致敏物,类别1特异性靶器官毒性-一次接触,类别3(呼吸道刺激)危害水生环境-急性危害,类别3",-
296,7803-51-2,2199,磷化氢,磷化三氢;膦,II*/I,"易爆介质;易燃气体,类别1",加压气体,-,磷酸腐蚀,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂。危险的分解产物:无资料","极易燃气体,内装加压气体:遇热可能爆炸,吸入致命,可引起皮肤腐蚀","急性毒性-吸入,类别2*皮肤腐蚀/刺激,类别1B严重眼损伤/眼刺激,类别1危害水生环境-急性危害,类别1",-
297,126-73-8,-,磷酸三丁酯,-,IV,-,-,-,-,与强氧化剂、强酸、强碱等禁配物发生反应。禁配物:强氧化剂、强酸、强碱。危险的分解产物:氧化磷,-,"急性毒性-经口,类别4皮肤腐蚀/刺激,类别2致癌性,类别2危害水生环境-急性危害,类别3危害水生环境-长期危害,类别3",-
298,1330-78-5,2574,磷酸三甲苯酯,磷酸三甲酚酯；增塑剂TCP,- / II,-,-,-,-,与强氧化剂接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强酸。危险的分解产物：氧化磷、磷烷,-,"生殖毒性,类别1B特异性靶器官毒性-一次接触,类别1特异性靶器官毒性-反复接触,类别1危害水生环境-急性危害,类别1",-
299,78-40-0,2922,磷酸三乙酯,三乙磷酸酯,IV,易爆介质,-,-,-,-,-,"急性毒性-经口,类别4严重眼损伤/眼刺激,类别2A",-
300,7783-06-4,1053,硫化氢,-,II *,"易爆介质；易燃气体,类别1",加压气体,-,高温硫化物腐蚀、酸性水腐蚀,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、碱类。危险的分解产物:无资料","极易燃气体,内装加压气体:遇热可能爆炸,吸入致命","急性毒性-吸入,类别2*危害水生环境-急性危害,类别1",-
301,7664-93-9,1830,硫酸,-,-(II-密封性)/I,-,-,-,硫酸腐蚀,"与易燃或可燃物、电石、高氯酸盐、金属粉末等发生剧烈反应,有发生火灾和爆炸的危险。禁配物:碱类、强还原剂、易燃或可燃物、电石、高氯酸盐、雷酸盐、硝酸盐、苦味酸盐、金属粉末等。危险的分解产物:氧化硫",可引起皮肤腐蚀,"皮肤腐蚀/刺激,类别1A严重眼损伤/眼刺激,类别1危害水生环境-急性危害,类别3",G1
302,77-78-1,1595,硫酸二甲酯,硫酸甲酯,II*/I,易爆介质,-,-,硫酸腐蚀,"与强氧化剂、氨水等禁配物发生剧烈反应,有发生火灾和爆炸的危险。禁配物:强氧化剂、强碱、氨、水。危险的分解产物:氧化硫","吞咽会中毒,吸入致命,可引起皮肤腐蚀,可引起皮肤过敏,可能致癌","急性毒性-经口,类别3*急性毒性-吸入,类别2*皮肤腐蚀/刺激,类别1B严重眼损伤/眼刺激,类别1皮肤致敏物,类别1生殖细胞致突变性,类别2致癌性,类别1B特异性靶器官毒性-一次接触,类别3(呼吸道刺激)危害水生环境-急性危害,类别2",-
303,64-67-5,1594,硫酸二乙酯,硫酸乙酯,III,易爆介质,-,-,硫酸腐蚀,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。遇水易分解。禁配物:强氧化剂、强碱、水。危险的分解产物:氧化硫","皮肤接触会中毒,可引起皮肤腐蚀,可能致癌","急性毒性-经口,类别4急性毒性-经皮,类别3急性毒性-吸入,类别4皮肤腐蚀/刺激,类别1B严重眼损伤/眼刺激,类别1生殖细胞致突变性,类别1B致癌性,类别1B危害水生环境-急性危害,类别3",-
304,58-89-9,2762,"γ-(1,2,4,5/3,6)-六氯环己烷",林丹；γ-六六六,III*,-,-,-,氯化物应力腐蚀开裂,与强氧化剂、强碱等禁配物发生反应。禁配物：强氧化剂、强碱。危险的分解产物：氯化氢、光气,吞咽会中毒,急性毒性-经口，类别3*急性毒性-经皮，类别4急性毒性-吸入，类别4生殖毒性，附加类别特异性靶器官毒性-反复接触，类别2*危害水生环境-急性危害，类别1危害水生环境-长期危害，类别1,-
305,67-72-1,3077,六氯乙烷,全氯乙烷；六氯化碳,IV,-,-,-,氯化物应力腐蚀开裂,与强氧化剂等禁配物发生反应。禁配物：强氧化剂、强碱、金属等。危险的分解产物：氯化氢、光气,-,急性毒性-经口，类别5严重眼损伤/眼刺激，类别2B致癌性，类别2特异性靶器官毒性-反复接触，类别2危害水生环境-急性危害，类别1危害水生环境-长期危害，类别1,-
306,100-97-0,1328,六亚甲基四胺,六甲撑四胺；乌洛托品,-/IV,-,-,-,-,与强氧化剂等禁配物接触，有发生容器爆炸的危险。禁配物：强氧化剂、强酸。危险的分解产物：氨,可能引起皮肤过敏,皮肤致敏物，类别1危害水生环境-急性危害，类别2,-
307,7782-50-5,1017,氯,液氯；氯气,II,--,加压气体,-,氯化物应力腐蚀,与易燃或可燃物、烷烃、芳香烃、卤代烷烃、金属、非金属氧化物等禁配物接触，有发生火灾和爆炸的危险。禁配物：易燃或可燃物、烷烃、炔烃、芳香烃、卤代烷烃、胺类、醇类、乙醚、氢、金属、苛性碱、非金属单质、非金属氧化物、金属氧化物等。危险的分解产物：无资料,内装加压气体：遇热可能爆炸，吸入致命,急性毒性-吸入，类别2皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别2特异性靶器官毒性-一次接触，类别3（呼吸道刺激）危害水生环境-急性危害，类别1,
308,75-68-3,2517,"1-氯-1,1-二氟乙烷",R142；二氟氯乙烷,-,易爆介质；易燃气体，类别1,加压气体,-,氯化物应力腐蚀,与强氧化剂等禁配物发生猛烈反应。禁配物：强氧化剂、镁铜及其合金。危险的分解产物：氯化氢、氟化氢,极易燃气体，内装加压气体：遇热可能爆炸,严重眼损伤/眼刺激，类别2B危害水生环境-长期危害，类别3危害臭氧层，类别1,-
309,126-99-8,1991,"2-氯-1,3-丁二烯[稳定的]",氯丁二烯,IV/III,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、酸类。危险的分解产物：氯化氢,高度易燃液体,急性毒性-经口，类别4急性毒性-吸入，类别4皮肤腐蚀/刺激，类别2严重眼损伤/眼刺激，类别2致癌性，类别2特异性靶器官毒性-一次接触，类别3(呼吸道刺激)特异性靶器官毒性-反复接触，类别2*,-
310,591-97-9,1993,1-氯-2-丁烯,-,-,易爆介质；易燃液体，类别2,-,-,氯化物应力腐蚀开裂,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。容易发生自聚反应。禁配物：强氧化剂、强碱。危险的分解产物：氯化氢,高度易燃液体,-,-
311,106-89-8,2023,"1-氯-2,3-环氧丙烷","环氧氯丙烷；3-氯-1,2-环氧丙烷",III*/II,易爆介质；易燃液体，类别3,-,-,氯化物应力腐蚀开裂,与酸类、碱类、氨、胺类、铜、镁、铝及其合金等禁配物发生反应，有发生火灾和爆炸的危险。禁配物：酸类、碱类、氨、胺类、铜、镁、铝及其合金。危险的分解产物：氯化氢,易燃液体，吞咽会中毒，皮肤接触会中毒，吸入会中毒，可引起皮肤腐蚀，可引起皮肤过敏，可能致癌,急性毒性-经口，类别3*急性毒性-经皮，类别3*急性毒性-吸入，类别3*皮肤腐蚀/刺激，类别1B严重眼损伤/眼刺激，类别1皮肤致敏物，类别1致癌性，类别1B危害水生环境-急性危害，类别3,-
312,97-00-7,3441,"1-氯-2,4-二硝基苯","2,4-二硝基氯苯;4-氯-1,3-二硝基苯",II,易爆介质,-,-,-,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、强碱、强还原剂。危险的分解产物:氮氧化物、氯化氢","皮肤接触会致命,造成严重眼损伤,可能引起皮肤过敏","急性毒性-经口,类别4急性毒性-经皮,类别2皮肤腐蚀/刺激,类别2严重眼损伤/眼刺激,类别1皮肤致敏物,类别1生殖细胞致突变性,类别2特异性靶器官毒性-一次接触,类别1特异性靶器官毒性-一次接触,类别3(呼吸道刺激)特异性靶器官毒性-反复接触,类别1危害水生环境-急性危害,类别1危害水生环境-长期危害,类别1",-
313,3531-19-9,2811,"6-氯-2,4-二硝基苯胺",-,I,-,-,-,胺腐蚀,-,"吞咽致命,皮肤接触致命,吸入致命","急性毒性-经口,类别2急性毒性-经皮,类别1急性毒性-吸入,类别2皮肤腐蚀/刺激,类别2严重眼损伤/眼刺激,类别2A特异性靶器官毒性-反复接触,类别2危害水生环境-急性危害,类别3危害水生环境-长期危害,类别2",-
314,87-60-5,3429,3-氯-2-甲基苯胺,-,III,-,-,-,胺腐蚀,-,"皮肤接触会中毒,可能引起皮肤过敏","急性毒性-经口,类别4急性毒性-经皮,类别3皮肤腐蚀/刺激,类别2皮肤致敏物,类别1B严重眼损伤/眼刺激,类别1特异性靶器官毒性-一次接触,类别1特异性靶器官毒性-反复接触,类别2危害水生环境-急性危害,类别3危害水生环境-长期危害,类别2",-
315,563-47-3,2554,3-氯-2-甲基丙烯,2-甲基-3-氯丙烯；甲基烯丙基氯；氯化异丁烯；1-氯-2-甲基-2-丙烯,IV,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。容易发生自聚反应。禁配物：强氧化剂、酸类、锂、钠、钾、镁、锌、镉、铝、汞等金属。危险的分解产物：氯化氢,高度易燃液体，可引起皮肤腐蚀，可能引起皮肤过敏,急性毒性-经口，类别4急性毒性-吸入，类别4皮肤腐蚀/刺激，类别1B严重眼损伤/眼刺激，类别1皮肤致敏物，类别1危害水生环境-急性危害，类别2危害水生环境-长期危害，类别2,-
316,594-36-5,1107,2-氯-2-甲基丁烷,叔戊基氯；氯代叔戊烷,-,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂、活性金属、强碱等禁配物发生剧烈反应。接触酸或酸气能产生有毒气体。禁配物：强氧化剂、强碱、钾、钠、镁、锌等。危险的分解产物：氮氧化物、氯化物,高度易燃液体,-,-
317,89-63-4,2237,4-氯-2-硝基苯胺,对氯邻硝基苯胺,IV,-,-,-,胺腐蚀,与强氧化剂、强碱等禁配物发生反应。接触酸或酸气能产生有毒气体。禁配物：强氧化剂、强碱。危险的分解产物：氮氧化物、氯化物,-,急性毒性-经口，类别4特异性靶器官毒性-反复接触，类别2危害水生环境-急性危害，类别2危害水生环境-长期危害，类别2,-
318,107-84-6,1107,1-氯-3-甲基丁烷,异戊基氯；氯代异戊烷,-,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强碱。危险的分解产物：氯化氢,高度易燃液体,-,-
319,121-87-9,2237,2-氯-4-硝基苯胺,邻氯对硝基苯胺,IV,-,-,-,胺腐蚀,与强氧化剂、强碱等禁配物发生反应。禁配物：强氧化剂、强碱。危险的分解产物：氮氧化物、氯化物,-,急性毒性-经口，类别4危害水生环境-急性危害，类别2危害水生环境-长期危害，类别2,-
320,108-90-7,1134,氯苯,一氯化苯；一氯代苯,IV,易爆介质；易燃液体，类别3,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、过氯酸银、二甲亚砜。危险的分解产物：氯化物,易燃液体,急性毒性-吸入，类别4危害水生环境-急性危害，类别2危害水生环境-长期危害，类别2,-
321,95-51-2,2019,2-氯苯胺,邻氯苯胺；邻氨基氯苯,III,易爆介质,-,-,胺腐蚀,与强氧化剂、酸酐等禁配物发生反应。禁配物：酸类、酰基氯、酸酐、氯仿、强氧化剂。危险的分解产物：氨、氯化物,皮肤接触会中毒,急性毒性-经口，类别4急性毒性-经皮，类别3急性毒性-吸入，类别4严重眼损伤/眼刺激，类别2B生殖细胞致突变性，类别2生殖毒性，类别2危害水生环境-急性危害，类别1危害水生环境-长期危害，类别1,-
322,108-42-9,2019,3-氯苯胺,间氨基氯苯；间氯苯胺,III,-,-,-,胺腐蚀,与强氧化剂等禁配物发生反应。禁配物：酸类、酰基氯、酸酐、氯仿、强氧化剂。危险的分解产物：氨、氯化氢,吞咽会中毒，皮肤接触会中毒，吸入会中毒,急性毒性-经口，类别3急性毒性-经皮，类别3急性毒性-吸入，类别3皮肤腐蚀/刺激，类别3严重眼损伤/眼刺激，类别2危害水生环境-急性危害，类别1危害水生环境-长期危害，类别1,-
323,95-57-8,2021,2-氯苯酚,2-羟基氯苯；2-氯-1-羟基苯；邻氯苯酚；邻羟基氯苯,II,-,-,-,苯酚腐蚀,与强氧化剂等禁配物发生反应。禁配物：强酸、酰基氯、酸酐、强氧化剂。危险的分解产物：氯化氢,吸入致命,急性毒性-经口，类别4急性毒性-经皮，类别4急性毒性-吸入，类别2危害水生环境-急性危害，类别2危害水生环境-长期危害，类别2,-
324,108-43-0,2020(固态)；2021(液态),3-氯苯酚,3-羟基氯苯；3-氯-1-羟基苯；间氯苯酚；间羟基氯苯,IV/II,-,-,-,苯酚腐蚀,与强氧化剂等禁配物发生反应。禁配物：强酸、酰基氯、酸酐、强氧化剂。危险的分解产物：氯化氢,-,急性毒性-经口，类别4急性毒性-经皮，类别4急性毒性-吸入，类别4危害水生环境-急性危害，类别2危害水生环境-长期危害，类别2,-
325,106-48-9,2020,4-氯苯酚,4-羟基氯苯；4-氯-1-羟基苯；对氯苯酚；对羟基氯苯,III,易爆介质,-,-,苯酚腐蚀,与强氧化剂等禁配物发生反应。禁配物：强酸、酰基氯、酸酐、强氧化剂。危险的分解产物：氯化氢,吞咽会中毒,急性毒性-经口，类别3急性毒性-经皮，类别4急性毒性-吸入，类别4危害水生环境-急性危害，类别2危害水生环境-长期危害，类别2,-
326,542-76-7,3276,3-氯丙腈,β-氯丙腈；氰化-β-氯乙烷,III / II,"易燃液体,类别4",-,-,-,与强氧化剂等禁配物发生反应。禁配物:强酸、强碱、强氧化剂、强还原剂。危险的分解产物:氯化氢、氰化氢,吞咽会中毒,"急性毒性-经口,类别3严重眼损伤/眼刺激,类别2B特异性靶器官毒性-一次接触,类别1",-
327,540-54-5,1278,1-氯丙烷,氯正丙烷;丙基氯,IV,"易爆介质;易燃液体,类别2",-,-,氯化物应力腐蚀开裂,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、强碱。危险的分解产物:氯化氢",高度易燃液体,"急性毒性-经口,类别4急性毒性-经皮,类别4急性毒性-吸入,类别4",-
328,75-29-6,2356,2-氯丙烷,氯异丙烷；异丙基氯,IV,"易爆介质;易燃液体,类别2",-,-,氯化物应力腐蚀开裂,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。禁配物:强氧化剂、强碱。危险的分解产物:氯化氢",高度易燃液体,"急性毒性-经口,类别4急性毒性-经皮,类别4急性毒性-吸入,类别4",-
329,557-98-2,2456,2-氯丙烯,异丙烯基氯,-,易爆介质；易燃液体，类别1,-,-,氯化物应力腐蚀开裂,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、酸类、碱。危险的分解产物：氯化氢,极易燃液体,-,-
330,107-05-1,1100,3-氯丙烯,α-氯丙烯；烯丙基氯,IV / III,易爆介质；易燃液体，类别2,-,-,氯化物应力腐蚀开裂,与强氧化剂、酸类等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、酸类、硝酸、发烟硫酸、氯磺酸、乙烯亚胺、乙烯二胺、碱类（如氢氧化钠）。危险的分解产物：氯化氢,高度易燃液体,急性毒性-经口，类别4急性毒性-经皮，类别4急性毒性-吸入，类别4严重眼损伤/眼刺激，类别2皮肤腐蚀/刺激，类别2生殖细胞致突变性，类别2特异性靶器官毒性-一次接触，类别3（呼吸道刺激）特异性靶器官毒性-反复接触，类别2*危害水生环境-急性危害，类别1,-
331,513-36-0,1127,氯代异丁烷,异丁基氯,-,易爆介质；易燃液体，类别2,-,-,氯化物应力腐蚀开裂,与强氧化剂、活性金属等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、锂、钠、钾、镁、锌、镉、铝、汞等金属。危险的分解产物：氯化氢,高度易燃液体,-,-
332,109-69-3,1127,1-氯丁烷,正丁基氯；氯代正丁烷,-,易爆介质；易燃液体，类别2,-,-,氯化物应力腐蚀开裂,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强碱。危险的分解产物：氯化氢,高度易燃液体,-,-
333,78-86-4,1127,2-氯丁烷,仲丁基氯；氯代仲丁烷,-,易爆介质；易燃液体，类别2,-,-,氯化物应力腐蚀开裂,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强碱。危险的分解产物：氯化氢,高度易燃液体,-,-
334,927-73-1,-,4-氯丁烯,-,IV,易爆介质；易燃液体，类别2,-,-,氯化物应力腐蚀开裂,-,高度易燃液体和蒸气,急性毒性-经口，类别4,-
335,100-44-7,1738,氯化苄,α-氯甲苯;苄基氯,III*/II,易爆介质,-,-,-,与强氧化剂、活性金属等禁配物发生反应。禁配物:强氧化剂、铁、铁盐、铝、水、醇类。危险的分解产物:氯化氢,"吸入会中毒,造成严重眼损伤,可能致癌","急性毒性-经口,类别4急性毒性-吸入,类别3*皮肤腐蚀/刺激,类别2严重眼损伤/眼刺激,类别1致癌性,类别1B特异性靶器官毒性-一次接触,类别3(呼吸道刺激)特异性靶器官毒性-反复接触,类别2*危害水生环境-急性危害,类别2",-
336,90-13-1,3082,1-氯化萘,α-氯化萘,IV,-,-,-,-,与强氧化剂等禁配物发生反应。禁配物:强氧化剂。危险的分解产物:氯化氢,-,"急性毒性-经口,类别4皮肤腐蚀/刺激,类别2严重眼损伤/眼刺激,类别2特异性靶器官毒性-一次接触,类别2特异性靶器官毒性-反复接触,类别2危害水生环境-急性危害,类别1危害水生环境-长期危害,类别1",-
337,7647-01-0,1050;2186(冷冻液化),氯化氢[无水],-,III*/II,-,加压气体,-,盐酸腐蚀、氯化物应力腐蚀开裂,与碱类、活性金属等禁配物发生反应。禁配物:碱类、活性金属粉末。危险的分解产物:无资料,"内装加压气体:遇热可能爆炸,吸入会中毒,可引起皮肤腐蚀","急性毒性-吸入,类别3*皮肤腐蚀/刺激,类别1A严重眼损伤/眼刺激,类别1危害水生环境-急性危害,类别1",-
338,506-77-4,1589,氯化氰,氰化氯;氯甲腈,I,-,加压气体,-,氯化物应力腐蚀开裂,与水、醇类等禁配物发生反应。禁配物:水、碱类、酸类、醇类。危险的分解产物:氯化氢、氰化氢,"内装加压气体:遇热可能爆炸,吸入致命,可引起皮肤腐蚀","急性毒性-吸入,类别1皮肤腐蚀/刺激,类别1严重眼损伤/眼刺激,类别1特异性靶器官毒性-一次接触,类别2特异性靶器官毒性-反复接触,类别1危害水生环境-急性危害,类别1危害水生环境-长期危害,类别1",-
339,95-49-8,2238,2-氯甲苯,邻氯甲苯,IV,"易爆介质;易燃液体,类别3",-,-,-,"与强氧化剂等禁配物接触,有发生火灾和爆炸的危险。在加热和水分影响下,逐渐分解放出腐蚀性强的氯化氢气体。禁配物:强氧化剂。危险的分解产物:氯化氢",易燃液体,"急性毒性-吸入,类别4危害水生环境-急性危害,类别2危害水生环境-长期危害,类别2",-
340,107-30-2,1239,氯甲基甲醚,甲基氯甲醚；氯二甲醚,I,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂等禁配物接触，有发生火灾和爆炸的危险。遇水发生分解。长期储存下可生成过氧化物。禁配物：强氧化剂、碱类、酸类。危险的分解产物：氯化氢、甲醛气体,高度易燃液体，吞咽致命，可能致癌,急性毒性-经口，类别1急性毒性-经皮，类别4急性毒性-吸入，类别4致癌性，类别1A,G1
341,503-38-8,-,氯甲酸三氯甲酯,双光气,II /I,易爆介质,-,-,-,与强氧化剂、碱类、水等禁配物发生反应。遇高热、碱类、活性炭能产生剧毒的光气。遇水或水蒸气反应放热并产生有毒的腐蚀性气体。禁配物：强氧化剂、碱类、水。危险的分解产物：氯化氢、光气,吞咽致命，吸入致命，可引起皮肤腐蚀,急性毒性-经口，类别2急性毒性-吸入，类别2皮肤腐蚀/刺激，类别1严重眼损伤/眼刺激，类别1,-
342,108-23-6,2407,氯甲酸异丙酯,-,I,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂、水等禁配物接触，有发生火灾和爆炸的危险。受热分解产生剧毒光气。禁配物：强氧化剂、强碱、水。危险的分解产物：氯化氢、光气,高度易燃液体，吸入致命，可引起皮肤腐蚀,急性毒性-吸入，类别1急性毒性-经口，类别4皮肤腐蚀/刺激，类别1严重眼损伤/眼刺激，类别1特异性靶器官毒性-一次接触，类别2,-
343,74-87-3,1063,氯甲烷,制冷剂R40；甲基氯；一氯甲烷,-/III,易爆介质；易燃气体，类别1,加压气体,-,氯化物应力腐蚀开裂,与强氧化剂、活性金属等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、镁、钾、钠及其合金等。危险的分解产物：氯化氢,极易燃液体，内装加压气体：遇热可能爆炸,特异性靶器官毒性-反复接触，类别2*,-
344,543-59-9,1107,1-氯戊烷,氯代正戊烷；氯戊烷；正戊基氯,IV,易爆介质；易燃液体，类别2,-,-,-,与强氧化剂、强碱、活性金属等禁配物接触，有发生火灾和爆炸的危险。禁配物：强氧化剂、强碱、锂、镁、钾、钠、锌、镉、铝、汞等金属。危险的分解产物：氯化氢、光气,高度易燃液体和蒸气,急性毒性-经口，类别4急性毒性-经皮，类别4急性毒性-吸入，类别4,-
